sku_id,unit_cost,annual_demand,annual_consumption_value,abc_class
SKU_00678,484.89,48420,23478373.8,A
SKU_00134,471.74,49088,23156773.12,A
SKU_00475,496.52,46126,22902481.52,A
SKU_00971,468.73,48331,22654189.630000003,A
SKU_00825,460.33,48813,22470088.29,A
SKU_00412,475.55,46267,22002271.85,A
SKU_00112,465.2,47154,21936040.8,A
SKU_00427,444.41,49253,21888525.73,A
SKU_00512,466.7,46386,21648346.2,A
SKU_00305,488.05,44164,21554240.2,A
SKU_00313,481.51,44669,21508570.19,A
SKU_00814,435.6,49357,21499909.200000003,A
SKU_00577,463.66,45993,21325114.380000003,A
SKU_00150,454.59,46700,21229353.0,A
SKU_00581,490.12,43106,21127112.72,A
SKU_00810,492.5,42752,21055360.0,A
SKU_00799,461.64,45479,20994925.56,A
SKU_00249,427.24,48945,20911261.8,A
SKU_00948,437.58,47656,20853312.48,A
SKU_00228,446.56,46349,20697609.44,A
SKU_00679,433.43,47514,20593993.02,A
SKU_00203,449.78,45748,20576535.439999998,A
SKU_00183,439.28,46642,20488897.759999998,A
SKU_00517,406.22,49410,20071330.200000003,A
SKU_00324,477.66,41946,20035926.36,A
SKU_00923,400.93,49959,20030061.87,A
SKU_00758,447.48,44398,19867217.04,A
SKU_00245,464.52,42634,19804345.68,A
SKU_00731,408.21,48506,19800634.259999998,A
SKU_00575,475.01,41189,19565186.89,A
SKU_00943,415.72,46977,19529278.44,A
SKU_00836,457.85,42535,19474649.75,A
SKU_00498,487.33,39925,19456650.25,A
SKU_00648,395.64,49038,19401394.32,A
SKU_00393,389.32,49368,19219949.759999998,A
SKU_00446,493.07,38950,19205076.5,A
SKU_00390,495.3,38665,19150774.5,A
SKU_00240,470.53,40429,19023057.369999997,A
SKU_00710,381.31,49826,18999152.06,A
SKU_00671,448.9,42074,18887018.599999998,A
SKU_00447,377.92,49886,18852917.12,A
SKU_00308,398.62,47282,18847550.84,A
SKU_00197,449.07,41096,18454980.72,A
SKU_00937,457.58,40294,18437728.52,A
SKU_00869,473.33,37878,17928793.74,A
SKU_00769,411.52,43561,17926222.72,A
SKU_00705,495.03,36159,17899789.77,A
SKU_00627,375.0,47714,17892750.0,A
SKU_00178,468.68,37884,17755473.12,A
SKU_00127,431.06,41070,17703634.2,A
SKU_00384,368.86,47937,17682041.82,A
SKU_00419,377.43,46489,17546343.27,A
SKU_00996,459.07,38167,17521324.69,A
SKU_00120,404.68,43101,17442112.68,A
SKU_00991,348.87,49592,17301161.04,A
SKU_00070,387.26,44581,17264438.06,A
SKU_00905,446.87,38567,17234435.29,A
SKU_00431,381.95,45104,17227472.8,A
SKU_00795,436.7,39410,17210347.0,A
SKU_00271,406.01,42307,17177065.07,A
SKU_00403,414.1,41225,17071272.5,A
SKU_00378,408.16,41752,17041496.32,A
SKU_00932,492.28,34603,17034364.84,A
SKU_00035,405.16,41886,16970531.76,A
SKU_00891,428.57,39520,16937086.4,A
SKU_00737,409.22,41057,16801345.540000003,A
SKU_00267,352.73,47617,16795944.41,A
SKU_00139,486.03,34257,16649929.709999999,A
SKU_00509,364.23,45600,16608888.0,A
SKU_00367,453.15,36544,16559913.6,A
SKU_00207,333.43,49569,16527791.67,A
SKU_00002,367.34,44723,16428546.819999998,A
SKU_00780,348.5,46919,16351271.5,A
SKU_00748,453.7,35743,16216599.1,A
SKU_00471,485.09,33382,16193274.379999999,A
SKU_00352,331.05,48390,16019509.5,A
SKU_00614,437.42,36436,15937835.120000001,A
SKU_00464,481.28,33075,15918336.0,A
SKU_00558,378.79,41999,15908801.21,A
SKU_00745,450.29,35058,15786266.82,A
SKU_00759,395.36,39878,15766166.08,A
SKU_00798,349.84,44914,15712713.76,A
SKU_00645,445.81,35157,15673342.17,A
SKU_00226,486.64,32188,15663968.32,A
SKU_00680,409.45,38106,15602501.7,A
SKU_00574,431.87,36023,15557253.01,A
SKU_00450,389.69,39785,15503816.65,A
SKU_00238,324.51,47738,15491458.379999999,A
SKU_00094,386.63,39937,15440842.31,A
SKU_00707,405.89,37973,15412860.969999999,A
SKU_00524,419.97,36321,15253730.370000001,A
SKU_00435,351.98,43301,15241085.98,A
SKU_00170,340.39,44741,15229388.99,A
SKU_00073,408.65,37214,15207501.1,A
SKU_00137,352.99,41944,14805812.56,A
SKU_00573,312.93,47164,14759030.52,A
SKU_00950,302.26,48704,14721271.04,A
SKU_00719,366.78,39982,14664597.959999999,A
SKU_00727,398.66,36421,14519595.860000001,A
SKU_00485,451.07,31990,14429729.299999999,A
SKU_00513,433.7,33220,14407514.0,A
SKU_00357,294.96,48751,14379594.959999999,A
SKU_00113,405.02,35500,14378210.0,A
SKU_00752,315.72,45460,14352631.200000001,A
SKU_00803,305.32,46981,14344238.92,A
SKU_00813,460.82,31110,14336110.2,A
