sku_id,assigned_bin
SKU_00678,BIN_000000
SKU_00134,BIN_000000
SKU_00475,BIN_000020
SKU_00971,BIN_000010
SKU_00825,BIN_000000
SKU_00412,BIN_000010
SKU_00112,BIN_000020
SKU_00427,BIN_000020
SKU_00512,BIN_000000
SKU_00305,BIN_000020
SKU_00313,BIN_000000
SKU_00814,BIN_000020
SKU_00577,BIN_000020
SKU_00150,BIN_000000
SKU_00581,BIN_000020
SKU_00810,BIN_000010
SKU_00799,BIN_000000
SKU_00249,BIN_000020
SKU_00948,BIN_000010
SKU_00228,BIN_000020
SKU_00679,BIN_000020
SKU_00203,BIN_000020
SKU_00183,BIN_000000
SKU_00517,BIN_000020
SKU_00324,BIN_000020
SKU_00923,BIN_000010
SKU_00758,BIN_000000
SKU_00245,BIN_000020
SKU_00731,BIN_000010
SKU_00575,BIN_000020
SKU_00943,BIN_000020
SKU_00836,BIN_000010
SKU_00498,BIN_000000
SKU_00648,BIN_000010
SKU_00393,BIN_000020
SKU_00446,BIN_000020
SKU_00390,BIN_000010
SKU_00240,BIN_000020
SKU_00710,BIN_000020
SKU_00671,BIN_000010
SKU_00447,BIN_000010
SKU_00308,BIN_000020
SKU_00197,BIN_000000
SKU_00937,BIN_000030
SKU_00869,BIN_000000
SKU_00769,BIN_000020
SKU_00705,BIN_000000
SKU_00627,BIN_000010
SKU_00178,BIN_000020
SKU_00127,BIN_000010
SKU_00384,BIN_000010
SKU_00419,BIN_000010
SKU_00996,BIN_000010
SKU_00120,BIN_000020
SKU_00991,BIN_000010
SKU_00070,BIN_000010
SKU_00905,BIN_000020
SKU_00431,BIN_000010
SKU_00795,BIN_000000
SKU_00271,BIN_000020
SKU_00403,BIN_000000
SKU_00378,BIN_000020
SKU_00932,BIN_000020
SKU_00035,BIN_000020
SKU_00891,BIN_000020
SKU_00737,BIN_000020
SKU_00267,BIN_000010
SKU_00139,BIN_000000
SKU_00509,BIN_000010
SKU_00367,BIN_000010
SKU_00207,BIN_000020
SKU_00002,BIN_000010
SKU_00780,BIN_000020
SKU_00748,BIN_000030
SKU_00471,BIN_000020
SKU_00352,BIN_000010
SKU_00614,BIN_000010
SKU_00464,BIN_000000
