bin_id,zone,aisle,rack,bin,x_coord,y_coord,distance_from_dispatch
BIN_000000,A,0,0,0,0,0,0.0
BIN_000001,A,0,0,1,0,1,1.0
BIN_000002,A,0,0,2,0,2,2.0
BIN_000003,A,0,0,3,0,3,3.0
BIN_000004,A,0,0,4,0,4,4.0
BIN_000005,A,0,0,5,0,5,5.0
BIN_000006,A,0,0,6,0,6,6.0
BIN_000007,A,0,0,7,0,7,7.0
BIN_000008,A,0,0,8,0,8,8.0
BIN_000009,A,0,0,9,0,9,9.0
BIN_000010,A,0,1,0,1,0,1.0
BIN_000011,A,0,1,1,1,1,1.4142135623730951
BIN_000012,A,0,1,2,1,2,2.23606797749979
BIN_000013,A,0,1,3,1,3,3.1622776601683795
BIN_000014,A,0,1,4,1,4,4.123105625617661
BIN_000015,A,0,1,5,1,5,5.0990195135927845
BIN_000016,A,0,1,6,1,6,6.082762530298219
BIN_000017,A,0,1,7,1,7,7.0710678118654755
BIN_000018,A,0,1,8,1,8,8.06225774829855
BIN_000019,A,0,1,9,1,9,9.055385138137417
BIN_000020,A,0,2,0,2,0,2.0
BIN_000021,A,0,2,1,2,1,2.23606797749979
BIN_000022,A,0,2,2,2,2,2.8284271247461903
BIN_000023,A,0,2,3,2,3,3.605551275463989
BIN_000024,A,0,2,4,2,4,4.47213595499958
BIN_000025,A,0,2,5,2,5,5.385164807134504
BIN_000026,A,0,2,6,2,6,6.324555320336759
BIN_000027,A,0,2,7,2,7,7.280109889280518
BIN_000028,A,0,2,8,2,8,8.246211251235321
BIN_000029,A,0,2,9,2,9,9.219544457292887
BIN_000030,A,0,3,0,3,0,3.0
BIN_000031,A,0,3,1,3,1,3.1622776601683795
BIN_000032,A,0,3,2,3,2,3.605551275463989
BIN_000033,A,0,3,3,3,3,4.242640687119285
BIN_000034,A,0,3,4,3,4,5.0
BIN_000035,A,0,3,5,3,5,5.830951894845301
BIN_000036,A,0,3,6,3,6,6.708203932499369
BIN_000037,A,0,3,7,3,7,7.615773105863909
BIN_000038,A,0,3,8,3,8,8.54400374531753
BIN_000039,A,0,3,9,3,9,9.486832980505138
BIN_000040,A,0,4,0,4,0,4.0
BIN_000041,A,0,4,1,4,1,4.123105625617661
BIN_000042,A,0,4,2,4,2,4.47213595499958
BIN_000043,A,0,4,3,4,3,5.0
BIN_000044,A,0,4,4,4,4,5.656854249492381
BIN_000045,A,0,4,5,4,5,6.4031242374328485
BIN_000046,A,0,4,6,4,6,7.211102550927978
BIN_000047,A,0,4,7,4,7,8.06225774829855
BIN_000048,A,0,4,8,4,8,8.94427190999916
BIN_000049,A,0,4,9,4,9,9.848857801796104
BIN_000050,A,0,5,0,5,0,5.0
BIN_000051,A,0,5,1,5,1,5.0990195135927845
BIN_000052,A,0,5,2,5,2,5.385164807134504
BIN_000053,A,0,5,3,5,3,5.830951894845301
BIN_000054,A,0,5,4,5,4,6.4031242374328485
BIN_000055,A,0,5,5,5,5,7.0710678118654755
BIN_000056,A,0,5,6,5,6,7.810249675906654
BIN_000057,A,0,5,7,5,7,8.602325267042627
BIN_000058,A,0,5,8,5,8,9.433981132056603
BIN_000059,A,0,5,9,5,9,10.295630140987
BIN_000060,A,0,6,0,6,0,6.0
BIN_000061,A,0,6,1,6,1,6.082762530298219
BIN_000062,A,0,6,2,6,2,6.324555320336759
BIN_000063,A,0,6,3,6,3,6.708203932499369
BIN_000064,A,0,6,4,6,4,7.211102550927978
BIN_000065,A,0,6,5,6,5,7.810249675906654
BIN_000066,A,0,6,6,6,6,8.48528137423857
BIN_000067,A,0,6,7,6,7,9.219544457292887
BIN_000068,A,0,6,8,6,8,10.0
BIN_000069,A,0,6,9,6,9,10.816653826391969
BIN_000070,A,0,7,0,7,0,7.0
BIN_000071,A,0,7,1,7,1,7.0710678118654755
BIN_000072,A,0,7,2,7,2,7.280109889280518
BIN_000073,A,0,7,3,7,3,7.615773105863909
BIN_000074,A,0,7,4,7,4,8.06225774829855
BIN_000075,A,0,7,5,7,5,8.602325267042627
BIN_000076,A,0,7,6,7,6,9.219544457292887
BIN_000077,A,0,7,7,7,7,9.899494936611665
BIN_000078,A,0,7,8,7,8,10.63014581273465
BIN_000079,A,0,7,9,7,9,11.40175425099138
BIN_000080,A,0,8,0,8,0,8.0
BIN_000081,A,0,8,1,8,1,8.06225774829855
BIN_000082,A,0,8,2,8,2,8.246211251235321
BIN_000083,A,0,8,3,8,3,8.54400374531753
BIN_000084,A,0,8,4,8,4,8.94427190999916
BIN_000085,A,0,8,5,8,5,9.433981132056603
BIN_000086,A,0,8,6,8,6,10.0
BIN_000087,A,0,8,7,8,7,10.63014581273465
BIN_000088,A,0,8,8,8,8,11.313708498984761
BIN_000089,A,0,8,9,8,9,12.041594578792296
BIN_000090,A,0,9,0,9,0,9.0
BIN_000091,A,0,9,1,9,1,9.055385138137417
BIN_000092,A,0,9,2,9,2,9.219544457292887
BIN_000093,A,0,9,3,9,3,9.486832980505138
BIN_000094,A,0,9,4,9,4,9.848857801796104
BIN_000095,A,0,9,5,9,5,10.295630140987
BIN_000096,A,0,9,6,9,6,10.816653826391969
BIN_000097,A,0,9,7,9,7,11.40175425099138
BIN_000098,A,0,9,8,9,8,12.041594578792296
BIN_000099,A,0,9,9,9,9,12.727922061357855
BIN_000100,A,1,0,0,10,0,10.0
