sku_id,bin_id,on_hand_qty,reorder_point,safety_stock
SKU_00678,BIN_001326,3549,296,386
SKU_00134,BIN_000218,2957,728,51
SKU_00475,BIN_000371,1782,758,97
SKU_00971,BIN_000701,4360,349,149
SKU_00825,BIN_000600,3212,389,490
SKU_00412,BIN_001339,2071,499,435
SKU_00112,BIN_000917,2327,682,77
SKU_00427,BIN_001054,3068,137,374
SKU_00512,BIN_000791,3260,986,159
SKU_00305,BIN_001353,2728,491,290
SKU_00313,BIN_000758,4677,810,50
SKU_00814,BIN_000888,1940,170,430
SKU_00577,BIN_001149,1401,764,165
SKU_00150,BIN_000528,3034,776,51
SKU_00581,BIN_001283,1680,602,189
SKU_00810,BIN_000776,3111,355,74
SKU_00799,BIN_000881,4812,631,278
SKU_00249,BIN_000203,2649,156,401
SKU_00948,BIN_001297,1345,471,337
SKU_00228,BIN_000552,4173,467,494
SKU_00679,BIN_000697,215,453,449
SKU_00203,BIN_001364,2159,748,494
SKU_00183,BIN_001147,4285,944,477
SKU_00517,BIN_001146,314,165,219
SKU_00324,BIN_001093,4324,759,81
SKU_00923,BIN_001021,2376,782,126
SKU_00758,BIN_000902,1577,958,135
SKU_00245,BIN_000542,821,284,202
SKU_00731,BIN_000418,3007,884,282
SKU_00575,BIN_000863,626,221,397
SKU_00943,BIN_000963,951,824,318
SKU_00836,BIN_000807,1548,975,79
SKU_00498,BIN_001344,3367,703,137
SKU_00648,BIN_000018,600,101,104
SKU_00393,BIN_001033,1238,402,51
SKU_00446,BIN_000095,3267,888,416
SKU_00390,BIN_001334,1316,528,186
SKU_00240,BIN_001119,1054,856,95
SKU_00710,BIN_001106,2203,513,443
SKU_00671,BIN_000400,1320,983,139
SKU_00447,BIN_000049,3369,314,196
SKU_00308,BIN_000234,3110,752,351
SKU_00197,BIN_000671,4013,856,469
SKU_00937,BIN_000397,4041,383,120
SKU_00869,BIN_001051,2743,581,216
SKU_00769,BIN_000640,4397,807,79
SKU_00705,BIN_001141,986,502,470
SKU_00627,BIN_000195,3543,297,156
SKU_00178,BIN_000866,3751,169,89
SKU_00127,BIN_001363,3887,585,239
SKU_00384,BIN_000464,592,317,96
SKU_00419,BIN_000408,459,250,385
SKU_00996,BIN_000261,4628,907,247
SKU_00120,BIN_000085,254,696,205
SKU_00991,BIN_000772,3152,250,248
SKU_00070,BIN_000860,81,198,358
SKU_00905,BIN_001227,1870,299,225
SKU_00431,BIN_000567,1796,393,384
SKU_00795,BIN_000110,3965,866,204
SKU_00271,BIN_000364,1263,181,221
SKU_00403,BIN_000501,1772,463,248
SKU_00378,BIN_000539,1878,424,484
SKU_00932,BIN_001350,3396,982,216
SKU_00035,BIN_001420,2593,777,269
SKU_00891,BIN_000827,1949,785,497
SKU_00737,BIN_000012,3346,745,284
SKU_00267,BIN_001226,76,159,299
SKU_00139,BIN_001055,776,240,246
SKU_00509,BIN_001131,2054,543,358
SKU_00367,BIN_000884,1263,102,457
SKU_00207,BIN_000015,4142,900,146
SKU_00002,BIN_000377,68,456,189
SKU_00780,BIN_000333,688,402,381
SKU_00748,BIN_000700,302,873,153
SKU_00471,BIN_000255,1799,937,253
SKU_00352,BIN_000153,2262,617,70
SKU_00614,BIN_001215,98,726,319
SKU_00464,BIN_001244,4201,518,178
SKU_00558,BIN_000007,3500,449,472
SKU_00745,BIN_000635,379,905,412
SKU_00759,BIN_001235,3809,661,470
SKU_00798,BIN_000037,1006,821,287
SKU_00645,BIN_000330,2706,686,456
SKU_00226,BIN_001025,2070,578,89
SKU_00680,BIN_000039,2136,644,173
SKU_00574,BIN_000363,4876,895,240
SKU_00450,BIN_000214,219,231,392
SKU_00238,BIN_000535,4590,711,210
SKU_00094,BIN_000716,1515,713,352
SKU_00707,BIN_000118,3911,954,253
SKU_00524,BIN_000565,1639,546,431
SKU_00435,BIN_000094,3924,591,145
SKU_00170,BIN_000258,3632,803,344
SKU_00073,BIN_000002,4205,246,493
SKU_00137,BIN_001304,3609,606,477
SKU_00573,BIN_000759,4911,599,74
SKU_00950,BIN_001090,4812,561,316
SKU_00719,BIN_001231,1708,254,318
SKU_00727,BIN_000041,3038,474,394
SKU_00485,BIN_001493,605,587,90
SKU_00513,BIN_000420,4044,185,91
SKU_00357,BIN_001485,1760,285,219
SKU_00113,BIN_000652,1750,280,350
SKU_00752,BIN_000553,2330,529,381
SKU_00803,BIN_000799,1541,862,83
SKU_00813,BIN_000166,2261,341,158
SKU_00118,BIN_001118,841,647,404
SKU_00961,BIN_000254,2765,818,90
SKU_00252,BIN_000031,4650,189,278
SKU_00480,BIN_001072,3364,672,407
SKU_00165,BIN_001145,1672,512,80
SKU_00820,BIN_000081,1619,164,66
SKU_00052,BIN_001062,4545,186,231
SKU_00709,BIN_001462,119,670,273
SKU_00398,BIN_000583,2341,375,468
SKU_00541,BIN_001403,2070,573,359
SKU_00414,BIN_000320,1787,198,337
SKU_00697,BIN_000428,704,141,171
SKU_00872,BIN_000715,4221,690,55
SKU_00508,BIN_001468,4281,751,203
SKU_00947,BIN_000102,4704,262,248
SKU_00221,BIN_001399,3966,431,357
SKU_00463,BIN_001030,4498,205,155
SKU_00182,BIN_000356,1795,218,316
SKU_00355,BIN_000259,1965,922,153
SKU_00200,BIN_001274,1159,562,440
SKU_00839,BIN_001320,3589,775,388
SKU_00771,BIN_001179,3729,813,411
SKU_00860,BIN_000452,2592,848,423
SKU_00886,BIN_001385,2361,197,381
SKU_00065,BIN_000442,772,387,483
SKU_00473,BIN_000952,4910,896,164
SKU_00325,BIN_001048,4164,215,232
SKU_00568,BIN_001115,4751,567,165
SKU_00295,BIN_000937,1377,203,233
SKU_00401,BIN_001466,2012,119,385
SKU_00774,BIN_001318,223,227,50
SKU_00807,BIN_001129,2492,562,486
SKU_00914,BIN_000688,184,948,181
SKU_00647,BIN_000722,4595,662,272
SKU_00388,BIN_001217,2199,915,386
SKU_00903,BIN_000987,2944,360,275
SKU_00247,BIN_001361,3657,267,108
SKU_00154,BIN_000703,4118,734,124
SKU_00549,BIN_001121,3050,413,292
SKU_00532,BIN_000165,4664,198,87
SKU_00949,BIN_000444,1857,469,77
SKU_00396,BIN_000524,3238,214,497
SKU_00020,BIN_001061,1460,382,457
SKU_00548,BIN_000916,1957,355,97
SKU_00489,BIN_001073,3346,588,334
SKU_00107,BIN_000879,3222,369,418
SKU_00609,BIN_001451,339,892,66
SKU_00462,BIN_000748,2356,912,208
SKU_00966,BIN_001023,4100,854,405
SKU_00358,BIN_000753,4709,677,370
SKU_00970,BIN_000792,1691,381,287
SKU_00791,BIN_000170,1874,822,369
SKU_00755,BIN_000223,2871,426,479
SKU_00631,BIN_000713,4247,834,395
SKU_00421,BIN_000139,4286,828,346
SKU_00534,BIN_001341,4394,577,482
SKU_00720,BIN_000268,3347,102,476
SKU_00467,BIN_000296,3618,913,489
SKU_00233,BIN_000332,2102,878,450
SKU_00688,BIN_000463,1486,236,225
SKU_00336,BIN_000726,3841,899,218
SKU_00510,BIN_000896,266,884,245
SKU_00781,BIN_000672,3258,441,455
SKU_00824,BIN_001313,1972,667,383
SKU_00420,BIN_001494,3824,687,158
SKU_00847,BIN_001484,4408,244,365
SKU_00551,BIN_001081,3535,793,94
SKU_00662,BIN_000745,4085,287,170
SKU_00119,BIN_000563,2300,842,394
SKU_00953,BIN_000780,1064,748,430
SKU_00789,BIN_001237,2037,110,274
SKU_00438,BIN_001042,2239,271,207
SKU_00204,BIN_000889,88,957,108
SKU_00494,BIN_000649,353,196,157
SKU_00321,BIN_000582,306,719,391
SKU_00453,BIN_000292,1590,398,365
SKU_00337,BIN_001065,1464,813,338
SKU_00700,BIN_000636,2327,902,88
SKU_00104,BIN_000590,2999,360,381
SKU_00716,BIN_000693,851,632,200
SKU_00661,BIN_000981,2196,646,339
SKU_00894,BIN_000450,4253,833,237
SKU_00176,BIN_000862,2393,263,243
SKU_00187,BIN_001108,4433,473,94
SKU_00815,BIN_001490,3680,719,433
SKU_00831,BIN_000034,4281,691,139
SKU_00725,BIN_000662,135,844,307
SKU_00359,BIN_000909,2897,359,372
SKU_00595,BIN_000936,3371,926,280
SKU_00523,BIN_000545,2910,626,101
SKU_00802,BIN_001322,4039,120,56
SKU_00766,BIN_001253,911,194,102
SKU_00086,BIN_001144,1696,771,75
SKU_00884,BIN_000683,2354,342,244
SKU_00723,BIN_000994,1805,441,54
SKU_00972,BIN_000241,3012,106,123
SKU_00076,BIN_000281,760,582,95
SKU_00851,BIN_001495,4065,884,253
SKU_00196,BIN_000783,2514,473,392
SKU_00876,BIN_000023,4957,487,331
SKU_00797,BIN_000925,2261,380,216
SKU_00686,BIN_001201,620,992,462
SKU_00093,BIN_000502,3516,511,427
SKU_00242,BIN_000830,1755,508,267
SKU_00186,BIN_000844,868,119,297
SKU_00633,BIN_000415,135,954,354
SKU_00862,BIN_001208,3628,744,303
SKU_00074,BIN_000689,1492,393,268
