sku_1,sku_2,co_pick_frequency
SKU_00164,SKU_00202,1
SKU_00164,SKU_00372,2
SKU_00164,SKU_00495,1
SKU_00164,SKU_00515,1
SKU_00164,SKU_00587,2
SKU_00164,SKU_00808,1
SKU_00202,SKU_00372,2
SKU_00202,SKU_00495,2
SKU_00202,SKU_00515,2
SKU_00202,SKU_00587,3
SKU_00202,SKU_00808,2
SKU_00372,SKU_00495,2
SKU_00372,SKU_00515,1
SKU_00372,SKU_00587,2
SKU_00372,SKU_00808,1
SKU_00495,SKU_00515,3
SKU_00495,SKU_00587,2
SKU_00495,SKU_00808,3
SKU_00515,SKU_00587,1
SKU_00515,SKU_00808,1
SKU_00587,SKU_00808,2
SKU_00287,SKU_00477,1
SKU_00287,SKU_00694,1
SKU_00287,SKU_00758,1
SKU_00287,SKU_00760,2
SKU_00477,SKU_00694,1
SKU_00477,SKU_00758,2
SKU_00477,SKU_00760,2
SKU_00694,SKU_00758,1
SKU_00694,SKU_00760,2
SKU_00758,SKU_00760,1
SKU_00116,SKU_00217,3
SKU_00116,SKU_00288,1
SKU_00116,SKU_00465,3
SKU_00116,SKU_00982,1
SKU_00217,SKU_00288,2
SKU_00217,SKU_00465,6
SKU_00217,SKU_00982,1
SKU_00288,SKU_00465,2
SKU_00288,SKU_00982,1
SKU_00465,SKU_00982,2
SKU_00202,SKU_00211,1
SKU_00202,SKU_00263,1
SKU_00202,SKU_00309,2
SKU_00202,SKU_00742,1
SKU_00202,SKU_00778,3
SKU_00202,SKU_00952,2
SKU_00211,SKU_00263,2
SKU_00211,SKU_00309,1
SKU_00211,SKU_00742,4
SKU_00211,SKU_00778,1
SKU_00211,SKU_00952,3
SKU_00263,SKU_00309,1
SKU_00263,SKU_00742,1
SKU_00263,SKU_00778,1
SKU_00263,SKU_00952,1
SKU_00309,SKU_00742,2
SKU_00309,SKU_00778,1
SKU_00309,SKU_00952,1
SKU_00742,SKU_00778,1
SKU_00742,SKU_00952,2
SKU_00778,SKU_00952,1
SKU_00005,SKU_00025,2
SKU_00005,SKU_00351,2
SKU_00005,SKU_00991,3
SKU_00025,SKU_00351,1
SKU_00025,SKU_00991,3
SKU_00351,SKU_00991,3
SKU_00038,SKU_00196,1
SKU_00038,SKU_00216,1
SKU_00038,SKU_00330,1
SKU_00038,SKU_00495,2
