bin_id,zone,aisle,rack,bin,x_coord,y_coord
BIN_000000,A,0,0,0,0,0
BIN_000001,A,0,0,1,0,1
BIN_000002,A,0,0,2,0,2
BIN_000003,A,0,0,3,0,3
BIN_000004,A,0,0,4,0,4
BIN_000005,A,0,0,5,0,5
BIN_000006,A,0,0,6,0,6
BIN_000007,A,0,0,7,0,7
BIN_000008,A,0,0,8,0,8
BIN_000009,A,0,0,9,0,9
BIN_000010,A,0,1,0,1,0
BIN_000011,A,0,1,1,1,1
BIN_000012,A,0,1,2,1,2
BIN_000013,A,0,1,3,1,3
BIN_000014,A,0,1,4,1,4
BIN_000015,A,0,1,5,1,5
BIN_000016,A,0,1,6,1,6
BIN_000017,A,0,1,7,1,7
BIN_000018,A,0,1,8,1,8
BIN_000019,A,0,1,9,1,9
BIN_000020,A,0,2,0,2,0
BIN_000021,A,0,2,1,2,1
BIN_000022,A,0,2,2,2,2
BIN_000023,A,0,2,3,2,3
BIN_000024,A,0,2,4,2,4
BIN_000025,A,0,2,5,2,5
BIN_000026,A,0,2,6,2,6
BIN_000027,A,0,2,7,2,7
BIN_000028,A,0,2,8,2,8
BIN_000029,A,0,2,9,2,9
BIN_000030,A,0,3,0,3,0
BIN_000031,A,0,3,1,3,1
BIN_000032,A,0,3,2,3,2
BIN_000033,A,0,3,3,3,3
BIN_000034,A,0,3,4,3,4
BIN_000035,A,0,3,5,3,5
BIN_000036,A,0,3,6,3,6
BIN_000037,A,0,3,7,3,7
BIN_000038,A,0,3,8,3,8
BIN_000039,A,0,3,9,3,9
BIN_000040,A,0,4,0,4,0
BIN_000041,A,0,4,1,4,1
BIN_000042,A,0,4,2,4,2
BIN_000043,A,0,4,3,4,3
BIN_000044,A,0,4,4,4,4
BIN_000045,A,0,4,5,4,5
BIN_000046,A,0,4,6,4,6
BIN_000047,A,0,4,7,4,7
BIN_000048,A,0,4,8,4,8
BIN_000049,A,0,4,9,4,9
BIN_000050,A,0,5,0,5,0
BIN_000051,A,0,5,1,5,1
BIN_000052,A,0,5,2,5,2
BIN_000053,A,0,5,3,5,3
BIN_000054,A,0,5,4,5,4
BIN_000055,A,0,5,5,5,5
BIN_000056,A,0,5,6,5,6
BIN_000057,A,0,5,7,5,7
BIN_000058,A,0,5,8,5,8
BIN_000059,A,0,5,9,5,9
BIN_000060,A,0,6,0,6,0
BIN_000061,A,0,6,1,6,1
BIN_000062,A,0,6,2,6,2
BIN_000063,A,0,6,3,6,3
BIN_000064,A,0,6,4,6,4
BIN_000065,A,0,6,5,6,5
BIN_000066,A,0,6,6,6,6
BIN_000067,A,0,6,7,6,7
BIN_000068,A,0,6,8,6,8
BIN_000069,A,0,6,9,6,9
BIN_000070,A,0,7,0,7,0
BIN_000071,A,0,7,1,7,1
BIN_000072,A,0,7,2,7,2
BIN_000073,A,0,7,3,7,3
BIN_000074,A,0,7,4,7,4
BIN_000075,A,0,7,5,7,5
BIN_000076,A,0,7,6,7,6
BIN_000077,A,0,7,7,7,7
BIN_000078,A,0,7,8,7,8
BIN_000079,A,0,7,9,7,9
BIN_000080,A,0,8,0,8,0
BIN_000081,A,0,8,1,8,1
BIN_000082,A,0,8,2,8,2
BIN_000083,A,0,8,3,8,3
BIN_000084,A,0,8,4,8,4
BIN_000085,A,0,8,5,8,5
BIN_000086,A,0,8,6,8,6
BIN_000087,A,0,8,7,8,7
BIN_000088,A,0,8,8,8,8
BIN_000089,A,0,8,9,8,9
BIN_000090,A,0,9,0,9,0
BIN_000091,A,0,9,1,9,1
BIN_000092,A,0,9,2,9,2
BIN_000093,A,0,9,3,9,3
BIN_000094,A,0,9,4,9,4
BIN_000095,A,0,9,5,9,5
BIN_000096,A,0,9,6,9,6
BIN_000097,A,0,9,7,9,7
BIN_000098,A,0,9,8,9,8
BIN_000099,A,0,9,9,9,9
BIN_000100,A,1,0,0,10,0
BIN_000101,A,1,0,1,10,1
BIN_000102,A,1,0,2,10,2
BIN_000103,A,1,0,3,10,3
BIN_000104,A,1,0,4,10,4
BIN_000105,A,1,0,5,10,5
BIN_000106,A,1,0,6,10,6
BIN_000107,A,1,0,7,10,7
BIN_000108,A,1,0,8,10,8
BIN_000109,A,1,0,9,10,9
BIN_000110,A,1,1,0,11,0
BIN_000111,A,1,1,1,11,1
BIN_000112,A,1,1,2,11,2
BIN_000113,A,1,1,3,11,3
BIN_000114,A,1,1,4,11,4
BIN_000115,A,1,1,5,11,5
BIN_000116,A,1,1,6,11,6
BIN_000117,A,1,1,7,11,7
BIN_000118,A,1,1,8,11,8
