sku_id,bin_id,on_hand_qty,reorder_point,safety_stock
SKU_00678,BIN_000462,4157,208,143
SKU_00134,BIN_000732,4875,908,253
SKU_00475,BIN_000447,4442,191,408
SKU_00971,BIN_001151,3990,232,261
SKU_00825,BIN_000298,1016,508,452
SKU_00412,BIN_001377,4542,175,376
SKU_00112,BIN_001260,4026,311,400
SKU_00427,BIN_000627,1013,364,380
SKU_00512,BIN_001353,669,276,113
SKU_00305,BIN_001464,249,371,428
SKU_00313,BIN_000143,4048,943,465
SKU_00814,BIN_001334,2992,422,483
SKU_00577,BIN_000895,3303,825,127
SKU_00150,BIN_000472,2296,177,226
SKU_00581,BIN_000987,4167,632,379
SKU_00810,BIN_000937,3520,541,373
SKU_00799,BIN_000483,4767,202,399
SKU_00249,BIN_001296,231,992,165
SKU_00948,BIN_000166,3325,777,378
SKU_00228,BIN_000093,4858,354,260
SKU_00679,BIN_001232,4790,681,153
SKU_00203,BIN_000803,981,546,433
SKU_00183,BIN_000897,1795,112,498
SKU_00517,BIN_000857,1840,395,118
SKU_00324,BIN_001036,1605,614,283
SKU_00923,BIN_000399,3893,952,496
SKU_00758,BIN_001294,2887,428,188
SKU_00245,BIN_000438,2295,784,287
SKU_00731,BIN_000962,2477,596,233
SKU_00575,BIN_001460,2184,182,70
SKU_00943,BIN_000529,504,769,279
SKU_00836,BIN_000332,656,997,111
SKU_00498,BIN_000201,2282,520,60
SKU_00648,BIN_001446,4138,726,91
SKU_00393,BIN_001221,819,633,123
SKU_00446,BIN_001466,3849,224,399
SKU_00390,BIN_000203,3084,858,180
SKU_00240,BIN_001449,1699,887,494
SKU_00710,BIN_001226,1672,363,135
SKU_00671,BIN_001445,2662,385,240
SKU_00447,BIN_000953,1332,821,422
SKU_00308,BIN_000409,1122,177,276
SKU_00197,BIN_000129,4811,434,84
SKU_00937,BIN_000661,3549,414,128
SKU_00869,BIN_000038,3149,455,209
SKU_00769,BIN_000795,546,950,444
SKU_00705,BIN_000605,2120,320,204
SKU_00627,BIN_000029,2908,452,369
SKU_00178,BIN_000123,2480,397,352
SKU_00127,BIN_001323,3718,839,368
SKU_00384,BIN_001205,1260,278,370
SKU_00419,BIN_000866,1409,983,213
SKU_00996,BIN_001255,1097,861,449
SKU_00120,BIN_001212,2023,688,302
SKU_00991,BIN_000656,961,787,318
SKU_00070,BIN_001152,2093,171,104
SKU_00905,BIN_001245,1141,816,343
SKU_00431,BIN_001276,1859,260,335
SKU_00795,BIN_000165,4600,489,132
SKU_00271,BIN_000240,2174,241,239
SKU_00403,BIN_001382,561,251,213
SKU_00378,BIN_000673,2161,393,450
SKU_00932,BIN_001155,2593,339,76
SKU_00035,BIN_000772,1029,158,294
SKU_00891,BIN_000976,2597,748,137
SKU_00737,BIN_001053,771,117,224
SKU_00267,BIN_001077,2480,832,296
SKU_00139,BIN_000244,2652,613,318
SKU_00509,BIN_001478,1514,843,410
SKU_00367,BIN_000747,297,582,432
SKU_00207,BIN_001345,202,342,216
SKU_00002,BIN_001213,4005,489,159
SKU_00780,BIN_000834,1963,113,158
SKU_00748,BIN_001132,504,577,397
SKU_00471,BIN_000597,3873,574,474
SKU_00352,BIN_001170,413,737,238
SKU_00614,BIN_000984,3479,291,97
SKU_00464,BIN_000551,4175,169,192
SKU_00558,BIN_001248,4292,208,164
SKU_00745,BIN_000890,2323,997,126
SKU_00759,BIN_001364,881,972,149
SKU_00798,BIN_001303,4132,298,411
SKU_00645,BIN_000622,4058,216,326
SKU_00226,BIN_000806,350,302,54
SKU_00680,BIN_000238,3107,427,59
SKU_00574,BIN_000516,825,596,459
SKU_00450,BIN_000119,967,481,443
SKU_00238,BIN_000720,4415,764,112
SKU_00094,BIN_001228,3644,777,473
SKU_00707,BIN_000735,481,595,300
SKU_00524,BIN_001012,4979,377,218
SKU_00435,BIN_000980,2174,166,221
SKU_00170,BIN_000186,228,449,396
SKU_00073,BIN_001312,4749,827,334
SKU_00137,BIN_000418,4518,470,230
SKU_00573,BIN_000268,4715,787,314
SKU_00950,BIN_000868,1834,904,197
SKU_00719,BIN_001193,4392,940,369
SKU_00727,BIN_000521,315,905,133
SKU_00485,BIN_001040,3761,853,212
SKU_00513,BIN_001215,2660,273,421
SKU_00357,BIN_001282,2925,772,355
SKU_00113,BIN_001261,686,602,439
SKU_00752,BIN_000089,1737,307,198
SKU_00803,BIN_000424,903,802,463
SKU_00813,BIN_000861,4634,503,56
SKU_00118,BIN_000082,1385,277,400
SKU_00961,BIN_000304,981,856,172
SKU_00252,BIN_000518,4582,279,424
SKU_00480,BIN_001484,3532,149,184
SKU_00165,BIN_000909,743,987,237
SKU_00820,BIN_000886,3728,813,124
SKU_00052,BIN_000841,4821,834,489
SKU_00709,BIN_001387,3493,721,91
SKU_00398,BIN_000179,3596,564,134
SKU_00541,BIN_000755,3837,928,366
SKU_00414,BIN_001267,4547,266,334
SKU_00697,BIN_000425,4206,364,77
SKU_00872,BIN_000032,1318,514,254
SKU_00508,BIN_001231,2449,746,177
SKU_00947,BIN_000809,3401,264,435
SKU_00221,BIN_000632,60,311,65
SKU_00463,BIN_000593,3158,639,126
SKU_00182,BIN_000098,4770,422,397
SKU_00355,BIN_001207,4819,677,459
