sku_id,unit_cost,annual_demand,weight_kg_x,volume_cu_m_x,pick_frequency_x,avg_daily_demand,demand_std,pick_frequency_y,volume_cu_m_y,weight_kg_y,abc_class,abc_priority
SKU_00678,1.6403857154968984,1.595466926335397,17.93,0.087,119,132.75616438356164,38.50678899148098,119,0.087,17.93,A,1.226586632396466
SKU_00134,1.549450210358479,1.6421372150350457,1.24,0.184,125,135.72054794520548,38.66272503835236,125,0.184,1.24,A,1.226586632396466
SKU_00475,1.720810044375972,1.4351950067590595,6.37,0.103,141,127.18356164383562,36.35413052131988,141,0.103,6.37,A,1.226586632396466
SKU_00971,1.5286353152659589,1.5892488788888872,20.31,0.054,140,131.8849315068493,37.90550596162559,140,0.054,20.31,A,1.226586632396466
SKU_00825,1.470547235937995,1.6229241470823461,2.9,0.02,138,132.4,40.5002916825747,138,0.02,2.9,A,1.226586632396466
SKU_00412,1.5757973034822341,1.445046070691171,3.87,0.106,127,127.55890410958904,38.076411879966656,127,0.106,3.87,A,1.226586632396466
SKU_00112,1.5042244914531357,1.507016948051333,4.08,0.152,151,127.9972602739726,38.53901253248165,151,0.152,4.08,A,1.226586632396466
SKU_00427,1.3604564951164257,1.6536650558066655,13.61,0.078,134,134.2,38.27583520237752,134,0.078,13.61,A,1.226586632396466
SKU_00512,1.5145973627617006,1.4533600891870666,5.1,0.023,125,125.33698630136986,34.98891310605719,125,0.023,5.1,A,1.226586632396466
SKU_00305,1.6622378977202754,1.298118500129254,6.17,0.153,148,119.61643835616438,36.29073313472279,148,0.153,6.17,A,1.226586632396466
SKU_00313,1.617012178814932,1.333400679460575,27.9,0.181,119,122.57534246575342,35.380008404907066,119,0.181,27.9,A,1.226586632396466
SKU_00814,1.2995331642974544,1.660931088777868,13.81,0.092,139,134.38630136986302,39.34562724446744,139,0.092,13.81,A,1.226586632396466
SKU_00577,1.4935750102430094,1.4259028684401176,18.82,0.115,124,126.85753424657534,35.974525166238486,124,0.115,18.82,A,1.226586632396466
SKU_00150,1.4308537150638863,1.475297919503967,24.93,0.047,121,129.2876712328767,37.43106464330362,121,0.047,24.93,A,1.226586632396466
SKU_00581,1.676552460126095,1.2242005877875952,12.93,0.174,139,118.9835616438356,32.67320294333793,139,0.174,12.93,A,1.226586632396466
SKU_00810,1.693010749269018,1.1994681294048473,4.06,0.137,131,117.013698630137,33.30721679986012,131,0.137,4.06,A,1.226586632396466
SKU_00799,1.4796062102141416,1.389991897793981,23.49,0.015,145,122.94246575342466,36.52546123020463,145,0.015,23.49,A,1.226586632396466
SKU_00249,1.241721694871052,1.6321464196996418,25.27,0.088,141,133.8082191780822,39.24579404015083,141,0.088,25.27,A,1.226586632396466
SKU_00948,1.3132253544247598,1.5420895302777156,26.88,0.116,129,131.13972602739727,36.6509326288172,129,0.116,26.88,A,1.226586632396466
SKU_00228,1.3753242773253687,1.4507750582261578,26.46,0.166,161,125.52054794520548,37.46731527591277,161,0.166,26.46,A,1.226586632396466
SKU_00679,1.2845270771377302,1.5321686006439579,16.53,0.155,119,133.2958904109589,38.97540940144098,119,0.155,16.53,A,1.226586632396466
SKU_00203,1.397591374401088,1.4087857715368035,22.62,0.144,142,126.10684931506847,36.901369613222,142,0.144,22.62,A,1.226586632396466
SKU_00183,1.3249812752411334,1.4712457088084887,4.99,0.089,116,126.34794520547943,36.212847993180674,116,0.089,4.99,A,1.226586632396466
SKU_00517,1.0963631916003622,1.6646339709651157,10.28,0.144,146,136.1260273972603,39.579527770246685,146,0.144,10.28,A,1.226586632396466
SKU_00324,1.5903884757896156,1.1431563738780262,18.97,0.107,127,115.18082191780822,33.92299237111176,127,0.107,18.97,A,1.226586632396466
SKU_00923,1.0597815321188229,1.7029902411688687,13.67,0.16,112,136.66575342465754,39.369942442249865,112,0.16,13.67,A,1.226586632396466
SKU_00758,1.3816863050612886,1.3144670743144602,27.78,0.004,122,122.27397260273972,34.958790603991915,122,0.004,27.78,A,1.226586632396466
SKU_00245,1.4995221231265863,1.191223976610598,22.51,0.145,149,116.28219178082192,34.84920160241487,149,0.145,22.51,A,1.226586632396466
SKU_00731,1.110124534203058,1.6014753766769687,5.05,0.041,129,133.4904109589041,40.19305118850313,129,0.041,5.05,A,1.226586632396466
SKU_00575,1.5720630698111506,1.0902680377318676,10.28,0.068,148,113.23561643835616,30.9938728873268,148,0.068,10.28,A,1.226586632396466
SKU_00943,1.1620580432212735,1.4946507188599591,3.17,0.171,157,128.87123287671233,40.62982677818471,157,0.171,3.17,A,1.226586632396466
SKU_00836,1.4533974220411678,1.1843072721476262,21.8,0.195,128,114.65753424657534,32.80303321964071,128,0.195,21.8,A,1.226586632396466
SKU_00498,1.657258919492164,1.0019577908510957,5.82,0.101,116,110.02465753424656,32.13889747634527,116,0.101,5.82,A,1.226586632396466
SKU_00648,1.0231998726372837,1.6386439299527367,15.99,0.076,117,133.65753424657535,38.156782979045175,117,0.076,15.99,A,1.226586632396466
SKU_00393,0.9794955081905301,1.6616996114959761,19.96,0.11,137,131.4,39.02111291015744,137,0.11,19.96,A,1.226586632396466
SKU_00446,1.6969524403662726,0.9338387317460699,10.96,0.088,137,107.34794520547943,29.99490849463261,137,0.088,10.96,A,1.226586632396466
SKU_00390,1.7123734423783392,0.9139270067769085,25.42,0.104,137,104.14794520547945,29.23643721242569,137,0.104,25.42,A,1.226586632396466
SKU_00240,1.5410827608362365,1.0371701044807706,15.77,0.11,139,109.32054794520548,31.82142376902614,139,0.11,15.77,A,1.226586632396466
SKU_00710,0.9241043754027933,1.6936981028499267,2.11,0.131,139,134.77534246575345,39.89992901485712,139,0.131,2.11,A,1.226586632396466
SKU_00671,1.3915059565667298,1.152099183688737,1.31,0.078,150,117.92876712328768,34.65870282004432,150,0.078,1.31,A,1.226586632396466
