order_id,order_priority
ORD_0000000,high
ORD_0000001,low
ORD_0000002,low
ORD_0000003,medium
ORD_0000004,medium
ORD_0000005,low
ORD_0000006,low
ORD_0000007,medium
ORD_0000008,low
ORD_0000009,low
ORD_0000010,medium
ORD_0000011,low
ORD_0000012,low
ORD_0000013,high
ORD_0000014,high
ORD_0000015,medium
ORD_0000016,medium
ORD_0000017,low
ORD_0000018,low
ORD_0000019,high
ORD_0000020,low
ORD_0000021,high
ORD_0000022,low
ORD_0000023,medium
ORD_0000024,low
ORD_0000025,high
ORD_0000026,low
ORD_0000027,medium
ORD_0000028,low
ORD_0000029,low
ORD_0000030,medium
ORD_0000031,low
ORD_0000032,high
ORD_0000033,medium
ORD_0000034,medium
ORD_0000035,low
ORD_0000036,low
ORD_0000037,medium
ORD_0000038,high
ORD_0000039,low
ORD_0000040,low
ORD_0000041,low
ORD_0000042,high
ORD_0000043,low
ORD_0000044,low
ORD_0000045,high
ORD_0000046,high
ORD_0000047,high
ORD_0000048,low
ORD_0000049,low
ORD_0000050,medium
ORD_0000051,low
ORD_0000052,medium
ORD_0000053,low
ORD_0000054,low
ORD_0000055,medium
ORD_0000056,high
ORD_0000057,high
ORD_0000058,low
ORD_0000059,low
ORD_0000060,low
ORD_0000061,medium
ORD_0000062,high
ORD_0000063,medium
ORD_0000064,low
ORD_0000065,high
ORD_0000066,medium
ORD_0000067,medium
ORD_0000068,medium
ORD_0000069,high
ORD_0000070,medium
ORD_0000071,low
ORD_0000072,high
ORD_0000073,low
ORD_0000074,low
ORD_0000075,medium
ORD_0000076,medium
ORD_0000077,high
ORD_0000078,low
ORD_0000079,medium
ORD_0000080,medium
ORD_0000081,medium
ORD_0000082,medium
ORD_0000083,high
ORD_0000084,low
ORD_0000085,high
ORD_0000086,high
ORD_0000087,high
ORD_0000088,medium
ORD_0000089,high
ORD_0000090,medium
ORD_0000091,medium
ORD_0000092,low
ORD_0000093,medium
ORD_0000094,high
ORD_0000095,low
ORD_0000096,high
ORD_0000097,medium
ORD_0000098,low
ORD_0000099,low
ORD_0000100,low
ORD_0000101,high
ORD_0000102,high
ORD_0000103,low
ORD_0000104,medium
ORD_0000105,low
ORD_0000106,medium
ORD_0000107,medium
ORD_0000108,medium
ORD_0000109,low
ORD_0000110,medium
ORD_0000111,low
ORD_0000112,low
ORD_0000113,low
ORD_0000114,high
ORD_0000115,low
ORD_0000116,medium
ORD_0000117,low
ORD_0000118,low
ORD_0000119,low
ORD_0000120,low
ORD_0000121,low
ORD_0000122,medium
ORD_0000123,medium
ORD_0000124,medium
ORD_0000125,medium
ORD_0000126,high
ORD_0000127,low
ORD_0000128,low
ORD_0000129,low
ORD_0000130,medium
ORD_0000131,medium
ORD_0000132,medium
ORD_0000133,low
ORD_0000134,high
ORD_0000135,medium
ORD_0000136,low
ORD_0000137,medium
ORD_0000138,low
ORD_0000139,high
ORD_0000140,low
ORD_0000141,high
ORD_0000142,high
ORD_0000143,high
ORD_0000144,low
ORD_0000145,high
ORD_0000146,medium
ORD_0000147,medium
ORD_0000148,low
ORD_0000149,low
ORD_0000150,high
ORD_0000151,low
ORD_0000152,medium
ORD_0000153,high
ORD_0000154,low
ORD_0000155,low
ORD_0000156,medium
ORD_0000157,high
ORD_0000158,medium
ORD_0000159,low
ORD_0000160,medium
ORD_0000161,low
ORD_0000162,low
ORD_0000163,low
ORD_0000164,medium
ORD_0000165,medium
ORD_0000166,low
ORD_0000167,high
ORD_0000168,high
ORD_0000169,medium
ORD_0000170,high
ORD_0000171,medium
ORD_0000172,low
ORD_0000173,high
ORD_0000174,medium
ORD_0000175,medium
ORD_0000176,low
ORD_0000177,medium
ORD_0000178,high
ORD_0000179,medium
ORD_0000180,low
ORD_0000181,high
ORD_0000182,low
ORD_0000183,low
ORD_0000184,low
ORD_0000185,low
ORD_0000186,low
ORD_0000187,medium
ORD_0000188,low
ORD_0000189,high
ORD_0000190,medium
ORD_0000191,medium
ORD_0000192,high
ORD_0000193,medium
ORD_0000194,medium
ORD_0000195,low
ORD_0000196,high
ORD_0000197,low
ORD_0000198,medium
ORD_0000199,low
ORD_0000200,medium
ORD_0000201,medium
ORD_0000202,low
ORD_0000203,low
ORD_0000204,low
ORD_0000205,low
ORD_0000206,low
ORD_0000207,medium
ORD_0000208,medium
ORD_0000209,low
ORD_0000210,medium
ORD_0000211,low
ORD_0000212,high
ORD_0000213,high
ORD_0000214,low
ORD_0000215,low
ORD_0000216,low
ORD_0000217,medium
ORD_0000218,medium
ORD_0000219,low
ORD_0000220,medium
ORD_0000221,medium
ORD_0000222,low
ORD_0000223,medium
ORD_0000224,high
ORD_0000225,high
ORD_0000226,low
ORD_0000227,high
ORD_0000228,medium
ORD_0000229,low
ORD_0000230,low
ORD_0000231,low
ORD_0000232,low
ORD_0000233,medium
ORD_0000234,medium
ORD_0000235,low
ORD_0000236,low
ORD_0000237,medium
ORD_0000238,high
ORD_0000239,low
ORD_0000240,high
ORD_0000241,low
ORD_0000242,low
ORD_0000243,low
ORD_0000244,low
ORD_0000245,medium
ORD_0000246,low
ORD_0000247,low
ORD_0000248,low
ORD_0000249,medium
ORD_0000250,low
ORD_0000251,high
ORD_0000252,low
ORD_0000253,low
ORD_0000254,medium
ORD_0000255,high
ORD_0000256,low
ORD_0000257,low
ORD_0000258,high
ORD_0000259,low
ORD_0000260,high
ORD_0000261,low
ORD_0000262,low
ORD_0000263,high
ORD_0000264,high
ORD_0000265,high
ORD_0000266,high
ORD_0000267,medium
ORD_0000268,low
ORD_0000269,low
ORD_0000270,medium
ORD_0000271,low
ORD_0000272,low
ORD_0000273,low
ORD_0000274,low
ORD_0000275,low
ORD_0000276,low
ORD_0000277,low
ORD_0000278,low
ORD_0000279,low
ORD_0000280,medium
ORD_0000281,low
ORD_0000282,low
ORD_0000283,high
ORD_0000284,low
ORD_0000285,low
ORD_0000286,low
ORD_0000287,high
ORD_0000288,low
ORD_0000289,medium
ORD_0000290,low
ORD_0000291,medium
ORD_0000292,high
ORD_0000293,medium
ORD_0000294,low
ORD_0000295,high
ORD_0000296,low
ORD_0000297,low
ORD_0000298,high
ORD_0000299,high
ORD_0000300,low
ORD_0000301,low
ORD_0000302,low
ORD_0000303,medium
ORD_0000304,high
ORD_0000305,medium
ORD_0000306,high
ORD_0000307,low
ORD_0000308,high
ORD_0000309,low
ORD_0000310,low
ORD_0000311,low
ORD_0000312,high
ORD_0000313,high
ORD_0000314,high
ORD_0000315,high
ORD_0000316,high
ORD_0000317,high
ORD_0000318,medium
ORD_0000319,high
ORD_0000320,medium
ORD_0000321,low
ORD_0000322,high
ORD_0000323,low
ORD_0000324,medium
ORD_0000325,medium
ORD_0000326,low
ORD_0000327,medium
ORD_0000328,low
ORD_0000329,high
ORD_0000330,low
ORD_0000331,medium
ORD_0000332,low
ORD_0000333,low
ORD_0000334,medium
ORD_0000335,high
ORD_0000336,high
ORD_0000337,low
ORD_0000338,low
ORD_0000339,high
ORD_0000340,low
ORD_0000341,high
ORD_0000342,medium
ORD_0000343,low
ORD_0000344,high
ORD_0000345,medium
ORD_0000346,low
ORD_0000347,high
ORD_0000348,medium
ORD_0000349,low
ORD_0000350,medium
ORD_0000351,medium
ORD_0000352,low
ORD_0000353,low
ORD_0000354,medium
ORD_0000355,low
ORD_0000356,medium
ORD_0000357,medium
ORD_0000358,low
ORD_0000359,low
ORD_0000360,low
ORD_0000361,low
ORD_0000362,low
ORD_0000363,medium
ORD_0000364,low
ORD_0000365,low
ORD_0000366,high
ORD_0000367,medium
ORD_0000368,low
ORD_0000369,low
ORD_0000370,medium
ORD_0000371,medium
ORD_0000372,low
ORD_0000373,low
ORD_0000374,low
ORD_0000375,low
ORD_0000376,low
ORD_0000377,high
ORD_0000378,high
ORD_0000379,medium
ORD_0000380,medium
ORD_0000381,medium
ORD_0000382,low
ORD_0000383,low
ORD_0000384,medium
ORD_0000385,high
ORD_0000386,low
ORD_0000387,high
ORD_0000388,high
ORD_0000389,low
ORD_0000390,medium
ORD_0000391,low
ORD_0000392,low
ORD_0000393,medium
ORD_0000394,low
ORD_0000395,low
ORD_0000396,low
ORD_0000397,low
ORD_0000398,low
ORD_0000399,low
ORD_0000400,low
ORD_0000401,medium
ORD_0000402,medium
ORD_0000403,medium
ORD_0000404,high
ORD_0000405,high
ORD_0000406,low
ORD_0000407,high
ORD_0000408,medium
ORD_0000409,high
ORD_0000410,low
ORD_0000411,medium
ORD_0000412,low
ORD_0000413,medium
ORD_0000414,low
