sku_id,bin_id,edge_type
SKU_00678,BIN_000462,stored_in
SKU_00134,BIN_000732,stored_in
SKU_00475,BIN_000447,stored_in
SKU_00971,BIN_001151,stored_in
SKU_00825,BIN_000298,stored_in
SKU_00412,BIN_001377,stored_in
SKU_00112,BIN_001260,stored_in
SKU_00427,BIN_000627,stored_in
SKU_00512,BIN_001353,stored_in
SKU_00305,BIN_001464,stored_in
SKU_00313,BIN_000143,stored_in
SKU_00814,BIN_001334,stored_in
SKU_00577,BIN_000895,stored_in
SKU_00150,BIN_000472,stored_in
SKU_00581,BIN_000987,stored_in
SKU_00810,BIN_000937,stored_in
SKU_00799,BIN_000483,stored_in
SKU_00249,BIN_001296,stored_in
SKU_00948,BIN_000166,stored_in
SKU_00228,BIN_000093,stored_in
SKU_00679,BIN_001232,stored_in
SKU_00203,BIN_000803,stored_in
SKU_00183,BIN_000897,stored_in
SKU_00517,BIN_000857,stored_in
SKU_00324,BIN_001036,stored_in
SKU_00923,BIN_000399,stored_in
SKU_00758,BIN_001294,stored_in
SKU_00245,BIN_000438,stored_in
SKU_00731,BIN_000962,stored_in
SKU_00575,BIN_001460,stored_in
SKU_00943,BIN_000529,stored_in
SKU_00836,BIN_000332,stored_in
SKU_00498,BIN_000201,stored_in
SKU_00648,BIN_001446,stored_in
SKU_00393,BIN_001221,stored_in
SKU_00446,BIN_001466,stored_in
SKU_00390,BIN_000203,stored_in
SKU_00240,BIN_001449,stored_in
SKU_00710,BIN_001226,stored_in
SKU_00671,BIN_001445,stored_in
SKU_00447,BIN_000953,stored_in
SKU_00308,BIN_000409,stored_in
SKU_00197,BIN_000129,stored_in
SKU_00937,BIN_000661,stored_in
SKU_00869,BIN_000038,stored_in
SKU_00769,BIN_000795,stored_in
SKU_00705,BIN_000605,stored_in
SKU_00627,BIN_000029,stored_in
SKU_00178,BIN_000123,stored_in
SKU_00127,BIN_001323,stored_in
SKU_00384,BIN_001205,stored_in
SKU_00419,BIN_000866,stored_in
SKU_00996,BIN_001255,stored_in
SKU_00120,BIN_001212,stored_in
SKU_00991,BIN_000656,stored_in
SKU_00070,BIN_001152,stored_in
SKU_00905,BIN_001245,stored_in
SKU_00431,BIN_001276,stored_in
SKU_00795,BIN_000165,stored_in
SKU_00271,BIN_000240,stored_in
SKU_00403,BIN_001382,stored_in
SKU_00378,BIN_000673,stored_in
SKU_00932,BIN_001155,stored_in
SKU_00035,BIN_000772,stored_in
SKU_00891,BIN_000976,stored_in
SKU_00737,BIN_001053,stored_in
SKU_00267,BIN_001077,stored_in
SKU_00139,BIN_000244,stored_in
SKU_00509,BIN_001478,stored_in
SKU_00367,BIN_000747,stored_in
SKU_00207,BIN_001345,stored_in
SKU_00002,BIN_001213,stored_in
SKU_00780,BIN_000834,stored_in
SKU_00748,BIN_001132,stored_in
SKU_00471,BIN_000597,stored_in
SKU_00352,BIN_001170,stored_in
SKU_00614,BIN_000984,stored_in
SKU_00464,BIN_000551,stored_in
SKU_00558,BIN_001248,stored_in
SKU_00745,BIN_000890,stored_in
SKU_00759,BIN_001364,stored_in
SKU_00798,BIN_001303,stored_in
SKU_00645,BIN_000622,stored_in
SKU_00226,BIN_000806,stored_in
SKU_00680,BIN_000238,stored_in
SKU_00574,BIN_000516,stored_in
SKU_00450,BIN_000119,stored_in
SKU_00238,BIN_000720,stored_in
SKU_00094,BIN_001228,stored_in
SKU_00707,BIN_000735,stored_in
SKU_00524,BIN_001012,stored_in
SKU_00435,BIN_000980,stored_in
SKU_00170,BIN_000186,stored_in
SKU_00073,BIN_001312,stored_in
SKU_00137,BIN_000418,stored_in
SKU_00573,BIN_000268,stored_in
SKU_00950,BIN_000868,stored_in
SKU_00719,BIN_001193,stored_in
SKU_00727,BIN_000521,stored_in
SKU_00485,BIN_001040,stored_in
SKU_00513,BIN_001215,stored_in
SKU_00357,BIN_001282,stored_in
SKU_00113,BIN_001261,stored_in
SKU_00752,BIN_000089,stored_in
SKU_00803,BIN_000424,stored_in
SKU_00813,BIN_000861,stored_in
SKU_00118,BIN_000082,stored_in
SKU_00961,BIN_000304,stored_in
SKU_00252,BIN_000518,stored_in
SKU_00480,BIN_001484,stored_in
SKU_00165,BIN_000909,stored_in
SKU_00820,BIN_000886,stored_in
SKU_00052,BIN_000841,stored_in
SKU_00709,BIN_001387,stored_in
SKU_00398,BIN_000179,stored_in
SKU_00541,BIN_000755,stored_in
SKU_00414,BIN_001267,stored_in
SKU_00697,BIN_000425,stored_in
SKU_00872,BIN_000032,stored_in
SKU_00508,BIN_001231,stored_in
SKU_00947,BIN_000809,stored_in
SKU_00221,BIN_000632,stored_in
SKU_00463,BIN_000593,stored_in
SKU_00182,BIN_000098,stored_in
SKU_00355,BIN_001207,stored_in
SKU_00200,BIN_001451,stored_in
SKU_00839,BIN_000469,stored_in
SKU_00771,BIN_000996,stored_in
SKU_00860,BIN_001290,stored_in
SKU_00886,BIN_000499,stored_in
SKU_00065,BIN_001427,stored_in
SKU_00473,BIN_000069,stored_in
SKU_00325,BIN_001025,stored_in
SKU_00568,BIN_001160,stored_in
SKU_00295,BIN_000572,stored_in
SKU_00401,BIN_000968,stored_in
SKU_00774,BIN_001200,stored_in
SKU_00807,BIN_000362,stored_in
SKU_00914,BIN_000167,stored_in
SKU_00647,BIN_000439,stored_in
SKU_00388,BIN_001262,stored_in
SKU_00903,BIN_000090,stored_in
SKU_00247,BIN_000160,stored_in
SKU_00154,BIN_001389,stored_in
SKU_00549,BIN_000208,stored_in
SKU_00532,BIN_001367,stored_in
SKU_00949,BIN_000522,stored_in
SKU_00396,BIN_000821,stored_in
