sku_id,unit_cost,annual_demand,weight_kg,volume_cu_m,handling_type,annual_consumption_value,abc_class
SKU_00678,484.89,48420,17.93,0.087,normal,23478373.8,A
SKU_00134,471.74,49088,1.24,0.184,hazardous,23156773.12,A
SKU_00475,496.52,46126,6.37,0.103,fragile,22902481.52,A
SKU_00971,468.73,48331,20.31,0.054,fragile,22654189.630000003,A
SKU_00825,460.33,48813,2.9,0.02,hazardous,22470088.29,A
SKU_00412,475.55,46267,3.87,0.106,fragile,22002271.85,A
SKU_00112,465.2,47154,4.08,0.152,hazardous,21936040.8,A
SKU_00427,444.41,49253,13.61,0.078,hazardous,21888525.73,A
SKU_00512,466.7,46386,5.1,0.023,fragile,21648346.2,A
SKU_00305,488.05,44164,6.17,0.153,fragile,21554240.2,A
SKU_00313,481.51,44669,27.9,0.181,normal,21508570.19,A
SKU_00814,435.6,49357,13.81,0.092,fragile,21499909.200000003,A
SKU_00577,463.66,45993,18.82,0.115,hazardous,21325114.380000003,A
SKU_00150,454.59,46700,24.93,0.047,hazardous,21229353.0,A
SKU_00581,490.12,43106,12.93,0.174,hazardous,21127112.72,A
SKU_00810,492.5,42752,4.06,0.137,fragile,21055360.0,A
SKU_00799,461.64,45479,23.49,0.015,hazardous,20994925.56,A
SKU_00249,427.24,48945,25.27,0.088,hazardous,20911261.8,A
SKU_00948,437.58,47656,26.88,0.116,fragile,20853312.48,A
SKU_00228,446.56,46349,26.46,0.166,normal,20697609.44,A
SKU_00679,433.43,47514,16.53,0.155,normal,20593993.02,A
SKU_00203,449.78,45748,22.62,0.144,fragile,20576535.439999998,A
SKU_00183,439.28,46642,4.99,0.089,normal,20488897.759999998,A
SKU_00517,406.22,49410,10.28,0.144,fragile,20071330.200000003,A
SKU_00324,477.66,41946,18.97,0.107,hazardous,20035926.36,A
SKU_00923,400.93,49959,13.67,0.16,normal,20030061.87,A
SKU_00758,447.48,44398,27.78,0.004,hazardous,19867217.04,A
SKU_00245,464.52,42634,22.51,0.145,fragile,19804345.68,A
SKU_00731,408.21,48506,5.05,0.041,normal,19800634.259999998,A
SKU_00575,475.01,41189,10.28,0.068,hazardous,19565186.89,A
SKU_00943,415.72,46977,3.17,0.171,fragile,19529278.44,A
SKU_00836,457.85,42535,21.8,0.195,hazardous,19474649.75,A
SKU_00498,487.33,39925,5.82,0.101,hazardous,19456650.25,A
SKU_00648,395.64,49038,15.99,0.076,normal,19401394.32,A
SKU_00393,389.32,49368,19.96,0.11,fragile,19219949.759999998,A
SKU_00446,493.07,38950,10.96,0.088,hazardous,19205076.5,A
SKU_00390,495.3,38665,25.42,0.104,hazardous,19150774.5,A
SKU_00240,470.53,40429,15.77,0.11,normal,19023057.369999997,A
SKU_00710,381.31,49826,2.11,0.131,normal,18999152.06,A
SKU_00671,448.9,42074,1.31,0.078,fragile,18887018.599999998,A
SKU_00447,377.92,49886,26.93,0.199,fragile,18852917.12,A
SKU_00308,398.62,47282,5.04,0.11,hazardous,18847550.84,A
SKU_00197,449.07,41096,29.35,0.047,hazardous,18454980.72,A
SKU_00937,457.58,40294,4.84,0.187,hazardous,18437728.52,A
SKU_00869,473.33,37878,6.1,0.003,hazardous,17928793.74,A
SKU_00769,411.52,43561,13.38,0.079,normal,17926222.72,A
SKU_00705,495.03,36159,27.31,0.046,normal,17899789.77,A
SKU_00627,375.0,47714,14.24,0.004,normal,17892750.0,A
SKU_00178,468.68,37884,18.0,0.097,normal,17755473.12,A
SKU_00127,431.06,41070,26.69,0.128,hazardous,17703634.2,A
SKU_00384,368.86,47937,12.18,0.039,hazardous,17682041.82,A
SKU_00419,377.43,46489,16.78,0.043,hazardous,17546343.27,A
SKU_00996,459.07,38167,12.53,0.13,hazardous,17521324.69,A
SKU_00120,404.68,43101,7.67,0.135,fragile,17442112.68,A
SKU_00991,348.87,49592,23.15,0.142,hazardous,17301161.04,A
SKU_00070,387.26,44581,5.3,0.013,normal,17264438.06,A
SKU_00905,446.87,38567,6.41,0.07,hazardous,17234435.29,A
SKU_00431,381.95,45104,5.95,0.045,normal,17227472.8,A
SKU_00795,436.7,39410,29.99,0.127,fragile,17210347.0,A
SKU_00271,406.01,42307,21.12,0.077,fragile,17177065.07,A
SKU_00403,414.1,41225,29.34,0.019,normal,17071272.5,A
SKU_00378,408.16,41752,12.6,0.091,fragile,17041496.32,A
SKU_00932,492.28,34603,16.94,0.148,normal,17034364.84,A
SKU_00035,405.16,41886,14.4,0.08,normal,16970531.76,A
SKU_00891,428.57,39520,19.0,0.096,fragile,16937086.4,A
SKU_00737,409.22,41057,15.57,0.15,fragile,16801345.540000003,A
SKU_00267,352.73,47617,15.35,0.045,fragile,16795944.41,A
SKU_00139,486.03,34257,1.16,0.166,fragile,16649929.709999999,A
SKU_00509,364.23,45600,9.52,0.003,normal,16608888.0,A
SKU_00367,453.15,36544,29.39,0.157,hazardous,16559913.6,A
SKU_00207,333.43,49569,3.33,0.168,fragile,16527791.67,A
SKU_00002,367.34,44723,23.61,0.159,hazardous,16428546.819999998,A
SKU_00780,348.5,46919,16.01,0.124,fragile,16351271.5,A
SKU_00748,453.7,35743,16.83,0.115,hazardous,16216599.1,A
SKU_00471,485.09,33382,20.64,0.099,hazardous,16193274.379999999,A
SKU_00352,331.05,48390,16.9,0.039,normal,16019509.5,A
SKU_00614,437.42,36436,8.22,0.094,fragile,15937835.120000001,A
SKU_00464,481.28,33075,3.76,0.044,hazardous,15918336.0,A
SKU_00558,378.79,41999,13.55,0.107,fragile,15908801.21,A
SKU_00745,450.29,35058,15.98,0.135,hazardous,15786266.82,A
SKU_00759,395.36,39878,12.48,0.004,fragile,15766166.08,A
SKU_00798,349.84,44914,6.3,0.195,hazardous,15712713.76,A
SKU_00645,445.81,35157,24.52,0.146,fragile,15673342.17,A
SKU_00226,486.64,32188,24.37,0.093,normal,15663968.32,A
SKU_00680,409.45,38106,27.02,0.171,normal,15602501.7,A
SKU_00574,431.87,36023,9.98,0.054,fragile,15557253.01,A
SKU_00450,389.69,39785,17.98,0.134,hazardous,15503816.65,A
SKU_00238,324.51,47738,11.32,0.186,fragile,15491458.379999999,A
SKU_00094,386.63,39937,6.05,0.068,hazardous,15440842.31,A
SKU_00707,405.89,37973,6.56,0.165,hazardous,15412860.969999999,A
SKU_00524,419.97,36321,22.8,0.111,fragile,15253730.370000001,A
SKU_00435,351.98,43301,22.75,0.044,hazardous,15241085.98,A
SKU_00170,340.39,44741,3.51,0.179,fragile,15229388.99,A
SKU_00073,408.65,37214,21.76,0.198,normal,15207501.1,A
SKU_00137,352.99,41944,24.08,0.004,normal,14805812.56,A
SKU_00573,312.93,47164,26.33,0.05,normal,14759030.52,A
SKU_00950,302.26,48704,14.06,0.075,hazardous,14721271.04,A
SKU_00719,366.78,39982,11.59,0.15,hazardous,14664597.959999999,A
SKU_00727,398.66,36421,0.92,0.126,normal,14519595.860000001,A
SKU_00485,451.07,31990,19.58,0.183,normal,14429729.299999999,A
SKU_00513,433.7,33220,19.69,0.104,fragile,14407514.0,A
SKU_00357,294.96,48751,7.18,0.121,fragile,14379594.959999999,A
SKU_00113,405.02,35500,3.15,0.11,fragile,14378210.0,A
SKU_00752,315.72,45460,6.93,0.178,fragile,14352631.200000001,A
SKU_00803,305.32,46981,23.8,0.083,hazardous,14344238.92,A
SKU_00813,460.82,31110,10.67,0.091,hazardous,14336110.2,A
SKU_00118,446.82,31983,8.45,0.097,normal,14290644.06,A
SKU_00961,303.56,46579,28.3,0.051,fragile,14139521.24,A
SKU_00252,426.31,33162,3.83,0.039,fragile,14137292.22,A
SKU_00480,316.55,44655,27.55,0.086,normal,14135540.25,A
SKU_00165,418.47,33760,14.4,0.103,hazardous,14127547.200000001,A
SKU_00820,402.41,35005,14.06,0.117,fragile,14086362.05,A
SKU_00052,470.05,29966,5.83,0.129,normal,14085518.3,A
SKU_00709,342.34,41001,24.52,0.056,normal,14036282.34,A
SKU_00398,376.68,37035,22.5,0.185,hazardous,13950343.8,A
SKU_00541,305.06,45450,14.42,0.07,normal,13864977.0,A
SKU_00414,317.76,43508,4.93,0.001,fragile,13825102.08,A
SKU_00697,292.71,47155,24.89,0.089,normal,13802740.049999999,A
SKU_00872,323.78,42522,0.17,0.126,fragile,13767773.159999998,A
SKU_00508,475.15,28806,3.28,0.143,normal,13687170.899999999,A
SKU_00947,450.51,30237,17.85,0.121,fragile,13622070.87,A
SKU_00221,286.31,47556,17.36,0.008,normal,13615758.36,A
SKU_00463,293.77,46263,14.61,0.086,hazardous,13590681.51,A
SKU_00182,462.72,29292,11.72,0.012,hazardous,13553994.24,A
SKU_00355,323.0,41852,23.18,0.087,hazardous,13518196.0,A
SKU_00200,322.81,41855,5.5,0.136,normal,13511212.55,A
SKU_00839,317.97,42468,13.36,0.16,normal,13503549.96,A
SKU_00771,423.99,31448,16.41,0.128,hazardous,13333637.52,A
SKU_00860,388.89,34184,15.86,0.096,hazardous,13293815.76,A
SKU_00886,328.11,40490,8.48,0.021,fragile,13285173.9,A
SKU_00065,273.63,48388,18.58,0.18,hazardous,13240408.44,A
SKU_00473,446.12,29645,0.98,0.158,hazardous,13225227.4,A
SKU_00325,370.26,35712,1.59,0.109,normal,13222725.12,A
SKU_00568,452.56,29152,6.87,0.117,fragile,13193029.12,A
SKU_00295,263.51,49938,9.05,0.026,normal,13159162.379999999,A
SKU_00401,451.76,29109,3.45,0.139,normal,13150281.84,A
SKU_00774,399.66,32879,4.63,0.029,normal,13140421.14,A
SKU_00807,463.16,28311,25.59,0.091,hazardous,13112522.760000002,A
SKU_00914,278.26,46920,16.51,0.188,normal,13055959.2,A
SKU_00647,341.16,38238,24.56,0.142,fragile,13045276.08,A
SKU_00388,376.55,34631,18.43,0.016,hazardous,13040303.05,A
SKU_00903,293.61,44411,21.33,0.073,fragile,13039513.71,A
SKU_00247,483.49,26805,20.38,0.042,fragile,12959949.450000001,A
SKU_00154,492.9,26272,15.49,0.153,normal,12949468.799999999,A
SKU_00549,387.3,33397,24.8,0.06,fragile,12934658.1,A
