sku_id,unit_cost,annual_demand,weight_kg,volume_cu_m,pick_frequency
SKU_00678,484.89,48420,17.93,0.087,119
SKU_00134,471.74,49088,1.24,0.184,125
SKU_00475,496.52,46126,6.37,0.103,141
SKU_00971,468.73,48331,20.31,0.054,140
SKU_00825,460.33,48813,2.9,0.02,138
SKU_00412,475.55,46267,3.87,0.106,127
SKU_00112,465.2,47154,4.08,0.152,151
SKU_00427,444.41,49253,13.61,0.078,134
SKU_00512,466.7,46386,5.1,0.023,125
SKU_00305,488.05,44164,6.17,0.153,148
SKU_00313,481.51,44669,27.9,0.181,119
SKU_00814,435.6,49357,13.81,0.092,139
SKU_00577,463.66,45993,18.82,0.115,124
SKU_00150,454.59,46700,24.93,0.047,121
SKU_00581,490.12,43106,12.93,0.174,139
SKU_00810,492.5,42752,4.06,0.137,131
SKU_00799,461.64,45479,23.49,0.015,145
SKU_00249,427.24,48945,25.27,0.088,141
SKU_00948,437.58,47656,26.88,0.116,129
SKU_00228,446.56,46349,26.46,0.166,161
SKU_00679,433.43,47514,16.53,0.155,119
SKU_00203,449.78,45748,22.62,0.144,142
SKU_00183,439.28,46642,4.99,0.089,116
SKU_00517,406.22,49410,10.28,0.144,146
SKU_00324,477.66,41946,18.97,0.107,127
SKU_00923,400.93,49959,13.67,0.16,112
SKU_00758,447.48,44398,27.78,0.004,122
SKU_00245,464.52,42634,22.51,0.145,149
SKU_00731,408.21,48506,5.05,0.041,129
SKU_00575,475.01,41189,10.28,0.068,148
SKU_00943,415.72,46977,3.17,0.171,157
SKU_00836,457.85,42535,21.8,0.195,128
SKU_00498,487.33,39925,5.82,0.101,116
SKU_00648,395.64,49038,15.99,0.076,117
SKU_00393,389.32,49368,19.96,0.11,137
SKU_00446,493.07,38950,10.96,0.088,137
SKU_00390,495.3,38665,25.42,0.104,137
SKU_00240,470.53,40429,15.77,0.11,139
SKU_00710,381.31,49826,2.11,0.131,139
SKU_00671,448.9,42074,1.31,0.078,150
SKU_00447,377.92,49886,26.93,0.199,138
SKU_00308,398.62,47282,5.04,0.11,145
SKU_00197,449.07,41096,29.35,0.047,136
SKU_00937,457.58,40294,4.84,0.187,142
SKU_00869,473.33,37878,6.1,0.003,147
SKU_00769,411.52,43561,13.38,0.079,147
SKU_00705,495.03,36159,27.31,0.046,132
SKU_00627,375.0,47714,14.24,0.004,140
SKU_00178,468.68,37884,18.0,0.097,140
SKU_00127,431.06,41070,26.69,0.128,145
SKU_00384,368.86,47937,12.18,0.039,134
SKU_00419,377.43,46489,16.78,0.043,127
SKU_00996,459.07,38167,12.53,0.13,123
SKU_00120,404.68,43101,7.67,0.135,134
SKU_00991,348.87,49592,23.15,0.142,119
SKU_00070,387.26,44581,5.3,0.013,143
SKU_00905,446.87,38567,6.41,0.07,151
SKU_00431,381.95,45104,5.95,0.045,147
SKU_00795,436.7,39410,29.99,0.127,128
SKU_00271,406.01,42307,21.12,0.077,146
SKU_00403,414.1,41225,29.34,0.019,121
SKU_00378,408.16,41752,12.6,0.091,122
SKU_00932,492.28,34603,16.94,0.148,134
SKU_00035,405.16,41886,14.4,0.08,137
SKU_00891,428.57,39520,19.0,0.096,132
SKU_00737,409.22,41057,15.57,0.15,121
SKU_00267,352.73,47617,15.35,0.045,139
SKU_00139,486.03,34257,1.16,0.166,129
SKU_00509,364.23,45600,9.52,0.003,132
SKU_00367,453.15,36544,29.39,0.157,135
SKU_00207,333.43,49569,3.33,0.168,127
SKU_00002,367.34,44723,23.61,0.159,147
SKU_00780,348.5,46919,16.01,0.124,136
SKU_00748,453.7,35743,16.83,0.115,138
SKU_00471,485.09,33382,20.64,0.099,146
SKU_00352,331.05,48390,16.9,0.039,125
SKU_00614,437.42,36436,8.22,0.094,122
SKU_00464,481.28,33075,3.76,0.044,141
SKU_00558,378.79,41999,13.55,0.107,138
SKU_00745,450.29,35058,15.98,0.135,141
SKU_00759,395.36,39878,12.48,0.004,147
SKU_00798,349.84,44914,6.3,0.195,128
SKU_00645,445.81,35157,24.52,0.146,130
SKU_00226,486.64,32188,24.37,0.093,131
